type,sequence,new_name,Detector 1,Detector 2,Detector 3,Detector 4,Detector 5,num_lanes,distance,latitude,longitude,distance_to_prev_mainline,Type,Description,
q,25,q25,S8128.9,S8128.10,S8128.11,,,3,472.32,-36.96542486,174.8698425,,M,E Tamaki Interchange,15606
r,25.34,r25.34,S8128.5,,,,,1,,-36.96480179,174.8692627,86.33,ON,E Tamaki On,15606
s,25.34,s25.34,,,,,,0,,,,,,,
q,25.34,q25.34,,,,,,3,750.00,,,,,,
r,25.67,r25.67,,,,,,0,,,,,,,
s,25.67,s25.67,,,,,,0,,,,,,,
q,25.67,q25.67,,,,,,3,750.00,,,,,,
r,26,r26,,,,,,0,,,,,,,
s,26,s26,S8129.7,,,,,1,,-36.98295975,174.8834686,2294.97,Off,Te Irirangi Off,15606
q,26,q26,S8129.12,S8129.13,S8129.14,,,3,776.37,-36.98288091,174.8832296,,M,Te Irirangi to Redoubt,17883
r,27,r27,,,,,,0,,,,,,,17883
s,27,s27,S8612.1,,,,,1,,-36.98948288,174.886795,799.50,OFF,Redoubt Off,17883
q,27,q27,S8612.7,S8612.8,S8612.9,,,3,799.43,-36.9895401,174.8866221,,M,Redoubt off to SH20 NB off,18682
r,28,r28,,,,,,0,,,,,,,18682
s,28,s28,S8612.2,,,,,1,,-36.99217224,174.8881836,323.88,OFF,Redoubt to SH20 NB,18682
q,28,q28,S8612.10,S8612.11,S8612.12,,,3,322.31,-36.9922231,174.8879954,,M,SH20 Off to Redoubt on,19004
r,29,r29,,,,,,0,,,,,,,19004
s,29,s29,,,,,,0,,,,,,,19004
q,29,q29,S8132.13,S8132.14,S8132.15,,,3,556.92,-36.99685669,174.8903758,,M,SH20 Off to Redoubt on,19561
r,30,r30,S8132.10,,,,,1,,-36.99649429,174.8903351,40.46,I,Redoubt On,19561
s,30,s30,,,,,,0,,,,,,,19561
q,30,q30,S8613.8,S8613.9,S8613.10,,,3,390.73,-36.99990336,174.892568,,M,SH1 before SH20 on,19952
r,31,r31,S8613.3,S8613.4,S8613.5,,,3,,-36.99983978,174.8927002,13.70,M,SH20 Off to On,19952
s,31,s31,,,,,,0,,,,,,,19952
q,31,q31,S8614.8,S8614.9,S8614.10,S8614.11,,4,478.23,-37.00355911,174.8954048,,M,SH20 on to Hill Road,20430
r,31.5,r31.5,,,,,,0,,,,,,,
s,31.5,s31.5,,,,,,0,,,,,,,
q,31.5,q31.5,,,,,,3,800.00,,,,,,
r,32,r32,,,,,,0,,,,,,,20430
s,32,s32,S8133.5,,,,,1,,-37.01289368,174.9055786,1376.02,OFF,Hill Off,20430
q,32,q32,S8133.10,S8133.11,S8133.12,,,3,706.24,-37.01410802,174.9060465,,M,Hill to Takanini,21937
r,32.34,r32.34,,,,,,0,,,,,,,
s,32.34,s32.34,,,,,,0,,,,,,,
q,32.34,q32.34,,,,,,2,600.00,,,,,,
r,32.67,r32.67,,,,,,0,,,,,,,
s,32.67,s32.67,,,,,,0,,,,,,,
q,32.67,q32.67,,,,,,2,600.00,,,,,,
r,33,r33,,,,,,0,,,,,,,21937
s,33,s33,,,,,,0,,,,,,,21937
q,33,q33,S8608.1,S8608.2,,,,2,820.39,-37.03198242,174.9101334,,M,Hill to Takanini,23957
r,34,r34,,,,,,0,,,,,,,23957
s,34,s34,S8136.5,,,,,1,,-37.03562164,174.9103088,404.96,OFF,Takanini Off,23957
q,34,q34,S8136.7,S8136.8,,,,2,400.01,-37.03557968,174.9101639,,M,Takanini Interchange,24357
r,35,r35,,,,,,0,,,,,,,24357
s,35,s35,,,,,,0,,,,,,,24357
q,35,q35,S8136.9,S8136.10,,,,2,428.02,-37.03942871,174.9102173,,M,Takanini Interchange,24785
r,36,r36,S8136.6,,,,,1,,-37.03942871,174.9103088,8.12,ON,Takanini On,24785
s,36,s36,,,,,,0,,,,,,,24785
q,36,q36,S8609.3,S8609.4,,,,2,607.17,-37.04445076,174.9129028,,M,Takanini to Papakura,25392
r,36.34,r36.34,,,,,,0,,,,,,,
s,36.34,s36.34,,,,,,0,,,,,,,
q,36.34,q36.34,,,,,,2,600.00,,,,,,
r,36.67,r36.67,,,,,,0,,,,,,,
s,36.67,s36.67,,,,,,0,,,,,,,
q,36.67,q36.67,,,,,,2,600.00,,,,,,
r,37,r37,,,,,,0,,,,,,,25392
s,37,s37,,,,,,0,,,,,,,25392
q,37,q37,S8601.1,S8601.2,,,,2,713.21,-37.0596447,174.9230194,,M,Takanini to Papakura,27305
r,38,r38,,,,,,0,,,,,,,27305
s,38,s38,,,,,,0,,,,,,,27305
q,38,q38,S8601.3,S8601.4,,,,2,463.90,-37.06347656,174.925087,,M,Takanini to Papakura,27769
r,38.5,r38.5,,,,,,0,,,,,,,
s,38.5,s38.5,,,,,,0,,,,,,,
q,38.5,q38.5,,,,,,2,600.00,,,,,,
r,39,r39,,,,,,0,,,,,,,27769
s,39,s39,S8138.3,,,,,1,,-37.07074356,174.9280243,849.04,OFF,Papakura Off,27769
q,39,q39,S8138.5,S8138.6,,,,2,611.08,-37.0738678,174.9291763,,M,Papakura interchange,28980
r,40,r40,S8138.4,,,,,1,,-37.07317734,174.9290009,78.34,ON,Papakura On,28980
s,40,s40,,,,,,0,,,,,,,
q,40,q40,,,,,,,,,,,,,
